,cxxfilt,objdump,nm-new,readelf,djpeg,mjs,mutool,readpng,tcpdump,xmllint
aflpp,3011.35,2974.0,1720.85,4501.9,1445.25,1298.95,1516.4,429.4,4784.45,3027.1
aflpp-inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fun,3057.25,3251.75,1791.05,4740.5,1562.9,1362.25,1520.45,450.6,5036.25,3660.75
fun-inc,1.5242333172829492,9.339273705447209,4.079379376470933,5.299984451009582,8.140460128005541,4.873166788559987,0.2670799261408569,4.937121564974394,5.26288288099991,20.932575732549306
fun-static,3020.95,3009.35,1739.1,4501.5,1476.05,1326.35,1514.9,439.45,4857.5,3113.4
fun-static-inc,0.31879389642518835,1.1886348352387326,1.0605224162477846,-0.008885137386428758,2.131119183532258,2.1093960506562888,-0.09891849116328146,2.3404750815090853,1.5268212647221768,2.8509134154801687
fairfuzz,2693.9,2707.8,1670.5,4484.45,1420.6,1186.6,1485.2,433.25,4733.9,3586.75
fairfuzz-inc,-10.541783585435098,-8.950907868190983,-2.9258796524973074,-0.387614118483303,-1.7055872686386502,-8.649293660264071,-2.0575046161962574,0.8965999068467683,-1.0565477745613432,18.48799180734036
